Date_(MM/DD/YYYY),Time_(HH:mm:ss),Depth_m,Pressure_psi_a,Sal_psu,Temp_C,Vertical_Position_m
2/24/24,17:01:37,1.98,2.882,34.64,20.384,1.998
2/24/24,17:02:37,2.035,2.962,34.7,20.42,2.044
2/24/24,17:03:37,2.037,2.966,34.71,20.42,2.046
2/24/24,17:04:37,2.038,2.967,34.71,20.421,2.044
2/24/24,17:05:37,2.037,2.966,34.72,20.42,2.045
2/24/24,17:06:37,2.033,2.96,34.72,20.419,2.047
2/24/24,17:07:37,2.029,2.954,34.72,20.419,2.042
2/24/24,17:08:37,2.024,2.947,34.72,20.419,2.037
2/24/24,17:09:37,2.024,2.947,34.72,20.419,2.041
2/24/24,17:10:37,2.021,2.942,34.72,20.419,2.032
2/24/24,17:11:37,2.019,2.939,34.72,20.419,2.031
2/24/24,17:12:37,2.018,2.938,34.73,20.419,2.029
2/24/24,17:13:37,2.017,2.936,34.73,20.419,2.029
2/24/24,17:14:37,2.015,2.934,34.72,20.418,2.026
2/24/24,17:15:37,2.015,2.933,34.72,20.419,2.024
2/24/24,17:16:37,2.014,2.933,34.73,20.419,2.024
2/24/24,17:17:37,2.013,2.931,34.73,20.419,2.024
2/24/24,17:18:37,2.013,2.93,34.73,20.419,2.027
2/24/24,17:19:37,2.013,2.931,34.72,20.418,2.025
2/24/24,17:20:37,2.015,2.933,34.73,20.419,2.027
2/24/24,17:21:37,2.014,2.932,34.73,20.418,2.027
2/24/24,17:22:37,2.013,2.931,34.73,20.419,2.024
2/24/24,17:23:37,2.012,2.93,34.73,20.416,2.024
2/24/24,17:24:37,2.01,2.927,34.73,20.418,2.022
2/24/24,17:25:37,2.011,2.928,34.73,20.417,2.022
2/24/24,17:26:37,2.009,2.925,34.73,20.417,2.022
2/24/24,17:27:37,2.01,2.926,34.73,20.417,2.021
2/24/24,17:28:37,2.008,2.924,34.73,20.416,2.023
2/24/24,17:29:37,2.01,2.926,34.73,20.415,2.022
