Date_(MM/DD/YYYY),Time_(HH:mm:ss),Depth_m,Pressure_psi a,Sal_psu,Temp_C,Vertical_Position_m
2/27/24,16:23:01,1.782,2.594,34.74,20.136,1.801
2/27/24,16:23:02,1.789,2.605,34.74,20.136,1.858
2/27/24,16:23:03,1.792,2.61,34.74,20.136,1.86
2/27/24,16:23:04,1.81,2.636,34.74,20.136,2.003
2/27/24,16:23:05,1.827,2.659,34.74,20.136,2.031
2/27/24,16:23:06,1.841,2.68,34.74,20.136,2.048
2/27/24,16:23:07,1.853,2.698,34.74,20.137,2.041
2/27/24,16:23:08,1.866,2.717,34.74,20.137,2.039
2/27/24,16:23:09,1.876,2.731,34.74,20.137,2.042
2/27/24,16:23:10,1.884,2.744,34.74,20.137,2.039
2/27/24,16:23:11,1.892,2.755,34.74,20.137,2.045
2/27/24,16:23:12,1.899,2.765,34.74,20.137,2.038
2/27/24,16:23:13,1.907,2.776,34.74,20.137,2.038
2/27/24,16:23:14,1.912,2.784,34.74,20.137,2.041
2/27/24,16:23:15,1.917,2.792,34.74,20.137,2.046
2/27/24,16:23:16,1.922,2.799,34.74,20.137,2.037
2/27/24,16:23:17,1.927,2.806,34.74,20.137,2.035
2/27/24,16:23:18,1.932,2.813,34.74,20.137,2.042
2/27/24,16:23:19,1.935,2.818,34.74,20.137,2.04
2/27/24,16:23:20,1.939,2.823,34.74,20.137,2.049
2/27/24,16:23:21,1.942,2.828,34.74,20.137,2.034
2/27/24,16:23:22,1.946,2.833,34.74,20.137,2.037
2/27/24,16:23:23,1.949,2.837,34.74,20.137,2.038
2/27/24,16:23:24,1.952,2.842,34.74,20.137,2.047
2/27/24,16:23:25,1.954,2.845,34.74,20.137,2.039
2/27/24,16:23:26,1.957,2.849,34.73,20.137,2.035
2/27/24,16:23:27,1.959,2.853,34.73,20.137,2.043
2/27/24,16:23:28,1.961,2.856,34.73,20.137,2.041
2/27/24,16:23:29,1.963,2.859,34.73,20.136,2.043
2/27/24,16:23:30,1.967,2.864,34.73,20.136,2.04
2/27/24,16:23:31,1.973,2.872,34.73,20.136,2.038
2/27/24,16:23:32,1.978,2.88,34.73,20.136,2.038
2/27/24,16:23:33,1.983,2.887,34.73,20.136,2.048
2/27/24,16:23:34,1.989,2.895,34.73,20.136,2.041
2/27/24,16:23:35,1.998,2.91,34.73,20.137,2.039
2/27/24,16:23:36,2.007,2.922,34.73,20.137,2.034
2/27/24,16:23:37,2.016,2.935,34.73,20.137,2.04
2/27/24,16:23:38,2.023,2.946,34.73,20.137,2.041
2/27/24,16:23:39,2.03,2.955,34.73,20.137,2.038
2/27/24,16:23:40,2.035,2.963,34.73,20.137,2.039
2/27/24,16:23:41,2.039,2.969,34.73,20.137,2.046
2/27/24,16:23:42,2.04,2.97,34.73,20.137,2.052
2/27/24,16:23:43,2.04,2.97,34.73,20.138,2.039
2/27/24,16:23:44,2.04,2.97,34.73,20.138,2.041
2/27/24,16:23:45,2.04,2.97,34.73,20.138,2.043
2/27/24,16:23:46,2.04,2.97,34.73,20.138,2.04
2/27/24,16:23:47,2.04,2.97,34.73,20.137,2.036
2/27/24,16:23:48,2.04,2.97,34.73,20.137,2.038
2/27/24,16:23:49,2.04,2.97,34.73,20.137,2.035
2/27/24,16:23:50,2.04,2.97,34.73,20.137,2.04
2/27/24,16:23:51,2.04,2.97,34.73,20.137,2.041
2/27/24,16:23:52,2.04,2.97,34.73,20.137,2.035
